"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"23,8";"24,1";"23,6";"89,0";"89,0";"85,0";"21,8";"22,1";"21,1";"1002,9";"1002,9";"1001,9";"0,6";"38,0";"1,4";"";"0,0"
"01/01/2023";"0100";"23,4";"23,8";"23,3";"85,0";"89,0";"84,0";"20,6";"21,8";"20,6";"1003,6";"1003,7";"1002,9";"1,0";"331,0";"3,6";"";"0,0"
"01/01/2023";"0200";"23,1";"23,4";"23,1";"88,0";"89,0";"85,0";"21,0";"21,3";"20,6";"1003,0";"1003,7";"1003,0";"0,5";"247,0";"2,3";"";"0,0"
"01/01/2023";"0300";"23,0";"23,3";"23,0";"88,0";"89,0";"88,0";"21,0";"21,4";"21,0";"1002,7";"1003,0";"1002,7";"1,0";"299,0";"2,4";"";"0,0"
"01/01/2023";"0400";"22,8";"23,1";"22,8";"90,0";"90,0";"88,0";"21,2";"21,2";"20,8";"1002,0";"1002,7";"1001,9";"0,2";"41,0";"2,4";"";"0,0"
"01/01/2023";"0500";"22,7";"22,8";"22,7";"92,0";"92,0";"90,0";"21,3";"21,4";"21,2";"1001,9";"1002,0";"1001,8";"0,6";"83,0";"1,9";"";"0,0"
"01/01/2023";"0600";"22,2";"22,7";"22,2";"93,0";"93,0";"92,0";"21,0";"21,3";"21,0";"1001,6";"1001,9";"1001,6";"0,0";"346,0";"1,3";"";"0,0"
"01/01/2023";"0700";"21,9";"22,2";"21,9";"94,0";"94,0";"93,0";"20,9";"21,0";"20,9";"1001,5";"1001,6";"1001,4";"0,0";"134,0";"0,7";"";"0,0"
"01/01/2023";"0800";"21,9";"22,0";"21,8";"94,0";"94,0";"94,0";"20,9";"20,9";"20,8";"1002,2";"1002,3";"1001,5";"0,0";"302,0";"0,8";"";"0,0"
"01/01/2023";"0900";"22,6";"22,6";"21,9";"94,0";"94,0";"94,0";"21,6";"21,6";"20,9";"1002,8";"1002,8";"1002,2";"0,1";"111,0";"0,6";"27,50";"0,0"
"01/01/2023";"1000";"23,6";"23,6";"22,6";"94,0";"94,0";"94,0";"22,6";"22,6";"21,6";"1003,6";"1003,6";"1002,8";"0,0";"98,0";"1,0";"225,00";"0,0"
"01/01/2023";"1100";"24,9";"24,9";"23,6";"81,0";"94,0";"77,0";"21,3";"22,9";"20,3";"1004,1";"1004,1";"1003,6";"1,1";"100,0";"2,4";"726,70";"0,0"
"01/01/2023";"1200";"26,2";"26,2";"24,7";"78,0";"83,0";"76,0";"22,1";"22,4";"21,1";"1004,4";"1004,6";"1004,1";"0,5";"111,0";"4,4";"830,80";"0,0"
"01/01/2023";"1300";"27,9";"28,3";"26,2";"71,0";"80,0";"69,0";"22,2";"22,8";"21,6";"1004,0";"1004,4";"1004,0";"1,3";"70,0";"3,8";"1726,90";"0,0"
"01/01/2023";"1400";"29,0";"29,0";"27,8";"69,0";"72,0";"69,0";"22,8";"22,9";"21,9";"1003,3";"1004,0";"1003,3";"0,4";"221,0";"2,9";"1098,40";"0,0"
"01/01/2023";"1500";"30,2";"30,9";"28,9";"59,0";"69,0";"55,0";"21,3";"22,8";"20,7";"1002,6";"1003,3";"1002,6";"2,1";"83,0";"5,3";"2250,40";"0,0"
"01/01/2023";"1600";"31,3";"32,2";"30,2";"55,0";"61,0";"50,0";"21,3";"22,3";"20,4";"1001,7";"1002,6";"1001,7";"1,6";"110,0";"5,3";"2516,30";"0,0"
"01/01/2023";"1700";"31,5";"31,5";"30,7";"57,0";"59,0";"52,0";"21,9";"22,1";"20,1";"1000,8";"1001,7";"1000,8";"1,2";"21,0";"3,7";"1885,10";"0,0"
